,Username,Last Name,First Name,Chamber,Party,State,District,Date Assumed Office,Gender,,,,,,
182,jahimes,Himes,Jim,House,Democratic,Connecticut,4,"January 3, 2009",M,,,,,,
183,RepJahanaHayes,Hayes,Jahana,House,Democratic,Connecticut,5,"January 3, 2019",F,,,,,,
184,RepLBR,Rochester,Lisa Blunt,House,Democratic,Delaware,1,"January 3, 2017",F,,,,,,
185,RepMattGaetz,Gaetz,Matt,House,Republican,Florida,1,"January 3, 2017",M,,,,,,
186,DrNealDunnFL2,Dunn,Neal,House,Republican,Florida,2,"January 3, 2017",M,,,,,,
187,RepKatCammack,Cammack,Kat,House,Republican,Florida,3,"January 3, 2021",F,,,,,,
188,RepRutherfordFL,Rutherford,John,House,Republican,Florida,4,"January 3, 2017",M,,,,,,
189,RepAlLawsonJr,Lawson,Alfred,House,Democratic,Florida,5,"January 3, 2017",M,,,,,,
190,michaelgwaltz,Waltz,Michael,House,Republican,Florida,6,"January 3, 2019",M,,,,,,
191,RepStephMurphy,Murphy,Stephanie,House,Democratic,Florida,7,"January 3, 2017",F,,,,,,
192,congbillposey,Posey,Bill,House,Republican,Florida,8,"January 3, 2013",M,,,,,,
193,RepDarrenSoto,Soto,Darren,House,Democratic,Florida,9,"January 3, 2017",M,,,,,,
194,RepValDemings,Demings,Val,House,Democratic,Florida,10,"January 3, 2017",F,,,,,,
195,RepWebster,Webster,Daniel,House,Republican,Florida,11,"January 3, 2017",M,,,,,,
196,RepGusBilirakis,Bilirakis,Gus,House,Republican,Florida,12,"January 3, 2013",M,,,,,,
197,RepCharlieCrist,Crist,Charlie,House,Democratic,Florida,13,"January 3, 2017",M,,,,,,
198,USRepKCastor,Castor,Kathy,House,Democratic,Florida,14,"January 3, 2013",F,,,,,,
199,RepFranklin,Franklin,Scott,House,Republican,Florida,15,"January 3, 2021",M,,,,,,
200,VernBuchanan,Buchanan,Vern,House,Republican,Florida,16,"January 3, 2013",M,,,,,,
201,RepGregSteube,Steube,Greg,House,Republican,Florida,17,"January 3, 2019",M,,,,,,
202,RepBrianMast,Mast,Brian,House,Republican,Florida,18,"January 3, 2017",M,,,,,,
203,RepDonaldsPress,Donalds,Byron,House,Republican,Florida,19,"January 3, 2021",M,,,,,,
204,CongresswomanSC,Cherfilus,Sheila,House,Democratic,Florida,20,"January 18, 2022",F,,,,,,
205,RepLoisFrankel,Frankel,Lois,House,Democratic,Florida,21,"January 3, 2017",F,,,,,,
206,RepTedDeutch,Deutch,Ted,House,Democratic,Florida,22,"January 3, 2017",M,,,,,,
207,RepDWStweets,WassermanSchultz,Debbie,House,Democratic,Florida,23,"January 3, 2013",F,,,,,,
208,RepWilson,Wilson,Frederica,House,Democratic,Florida,24,"January 3, 2013",F,,,,,,
209,MarioDB,DiazBalart,Mario,House,Republican,Florida,25,"January 3, 2003",M,,,,,,
